Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
6150,Austria,France,2,,A-340,Transport aircraft,SecondHand,,2005,,2006 - 2007,2,Yes,,Second-hand; 'TLRA' programme; 5-9-year lease (with option to buy) via French and Portugese company; A-340-211 version
18631,Austria,Germany,81,,M-16,Diesel engine,New,,2005,,2007 - 2009,81,Yes,,For 81 Bv-206S APC from Sweden
18632,Austria,Germany,75,,M-16,Diesel engine,New,,2005,,2005 - 2007,75,Yes,,For 75 Bv-206S APC from Sweden
9703,Austria,Ghana,2,,DA-42,Light aircraft,New,,2011,Yes,2011 - 2011,2,,,EUR11.8 m deal; DA-42MPP version
9706,Austria,Ghana,3,Yes,DA-42,Light aircraft,New,,2012,Yes,2012 - 2012,3,,,Incl 2 for maritime patrol
18630,Austria,Italy,146,,M-16,Diesel engine,New,,2003,,2005 - 2010,146,Yes,,For 146 Bv-206S APC from Sweden
28365,Austria,Jordan,2,,Camcopter S-100,UAV,New,,2010,,2011 - 2011,2,,,
35092,Austria,Kuwait,20,Yes,M-14,Diesel engine,New,,2008,,2009 - 2009,20,Yes,,For 20 VBL APV from France
28368,Austria,Libya,4,,Camcopter S-100,UAV,New,,2009,,2011 - 2011,4,Yes,,
32359,Austria,Portugal,228,Yes,Pandur-2,APC,New,,2005,,2007 - 2011,144,Yes,Yes,"Part of EUR365 m ($480 m) deal (incl EUR21 m for spare parts; offsets 150% in 9 years incl assembly in Portugal); incl ambulance, ARV, command post, mortar carrier and anti-tank versions; delivery from 2007-2013 but status of last 84 uncertain"
20326,Austria,Portugal,32,Yes,Pandur-2,IFV,New,,2005,,2009 - 2011,22,Yes,Yes,Part of EUR365 m ($480 m) deal (incl EUR21 m for spare parts; offsets 150% in 9 years incl assembly in Portugal); status of last 10 uncertain
5416,Austria,Saudi Arabia,37,Yes,M12 120mm,Mortar,New,,2008,Yes,2010 - 2010,37,,,
14899,Austria,Slovenia,36,,Pandur,APC,New,,2003,,2004 - 2007,36,Yes,Yes,Hull produced and vehicle assembled in Slovenia; Slovenian designation Valuk
9698,Austria,Thailand,6,,DA-42,Light aircraft,New,,2008,,2009 - 2009,6,,,For training
9705,Austria,Thailand,3,,DA-42,Light aircraft,New,,2010,,2010 - 2010,3,,,DA-42MPP version
9704,Austria,Thailand,3,,DA-42,Light aircraft,New,,2010,Yes,2011 - 2011,3,Yes,,Da-42MPP version
4603,Austria,Turkmenistan,10,Yes,Survivor-2,APC,New,,2010,Yes,2011 - 2011,10,Yes,,
23060,Austria,Uganda,6,,Bell-206/OH-58,Light helicopter,SecondHand,,2009,,2009 - 2010,6,Yes,,Second-hand; delivered via FRG company
28358,Austria,United Arab Emirates,60,,Camcopter S-100,UAV,New,,2006,,2006 - 2010,60,Yes,Yes,Incl production of components in UAE; UAE designation Al Saber
9699,Austria,United Kingdom,3,,DA-42,Light aircraft,New,,2008,,2008 - 2008,3,,,DA-42MPP surveillance version; incl 2 for use in Iraq and 1 for training; owned and operated by UK company for UK air force
28981,Austria,United Kingdom,198,Yes,Pinzgauer 6x6,APC,New,,2006,,2007 - 2007,198,Yes,,Vector version; for use in Afghanistan and Iraq
14315,Austria,United States,20,,DA-40,Light aircraft,New,,2009,Yes,2009 - 2009,20,,,Lease; or training; US designation T-52A
14896,Austria,United States,33,Yes,Pandur,APC,New,,1999,,2000 - 2007,33,Yes,Yes,US designation AGMS (Armored Ground Mobility System)
20298,Belarus,Armenia,10,,D-30 122mm,Towed gun,SecondHand,,2006,Yes,2007 - 2007,10,Yes,,Ex-Belarusian
278,Belarus,Azerbaijan,6,Yes,Su-25/Frogfoot-A,Ground attack ac,SecondHand,,2009,Yes,2009 - 2010,6,,,Ex-Belarusian
17904,Belarus,Azerbaijan,3,Yes,2S7 Pion 203mm,Self-propelled gun,SecondHand,,2008,Yes,2008 - 2008,3,,,Ex-Belarusian
17906,Belarus,Azerbaijan,9,Yes,2S7 Pion 203mm,Self-propelled gun,SecondHand,,2009,,2009 - 2009,9,,,Ex-Belarusian
20308,Belarus,Azerbaijan,30,Yes,D-30 122mm,Towed gun,SecondHand,,2009,Yes,2010 - 2010,30,,,Ex-Belarusian
5845,Belarus,Eritrea,9,,BM-22/9P140 Uragan,Self-propelled MRL,SecondHand,,2006,Yes,2007 - 2007,9,,,Ex-Belarusian
24018,Belarus,Nigeria,2,Yes,Mi-24P/Hind-F,Combat helicopter,SecondHand,,2009,,2010 - 2010,2,,,Ex-Belarusian
272,Belarus,Sudan,15,Yes,Su-25/Frogfoot-A,Ground attack ac,SecondHand,Yes,2007,Yes,2008 - 2010,15,,,Ex-Belarusian
20883,Belarus,Sudan,2,,BTR-70,APC,Refurbished,,2006,Yes,2007 - 2007,2,,,Ex-Belarusian; modernized to Kobra-K2 IFV before delivery
25630,Belarus,Syria,33,Yes,MiG-23MS/Flogger-E,Fighter aircraft,SecondHand,,2008,Yes,2008 - 2008,33,Yes,,"Ex-Belarusian; unclear if operational, for spares only or Syrian aircraft overhauled/modernized in Belarus"
16413,Belarus,Turkmenistan,4,Yes,Caracal,Tank destroyer,New,,2010,,2011 - 2011,4,Yes,,
24110,Belarus,Uganda,1,Yes,Mi-24V/Hind-E,Combat helicopter,SecondHand,,2009,Yes,2010 - 2010,1,,,Ex-Belarusian
13461,Belarus,Yemen,92,Yes,T-80,Tank,Refurbished,Yes,2009,Yes,2010 - 2011,92,Yes,,Ex-Belarusian; T-80B version; probably modernized before delivery
66279,Belarus,Yemen,68,,SG-1000,Gas turbine,Refurbished,Yes,2009,Yes,2010 - 2011,68,Yes,,Ex-Belarusian; spares for T-80 tanks
13572,Belgium,Bahrain,8,Yes,AIFV-APC,APC,SecondHand,,2007,Yes,2008 - 2008,8,,,Ex-Belgian
2526,Belgium,Bahrain,42,,AIFV,IFV,SecondHand,,2007,Yes,2008 - 2008,42,,,Ex-Belgian
1534,Belgium,Benin,4,,A-109,Light helicopter,SecondHand,,2007,,2007 - 2009,4,,,Ex-Belgian; part of EUR2.7 m deal; 1 more for spares only
29526,Belgium,Benin,18,,M-113,APC,SecondHand,,2007,,2007 - 2007,18,Yes,,Ex-Belgian; part of EUR2.7 m deal
13848,Belgium,Bulgaria,2,,Wielingen,Frigate,SecondHand,Yes,2008,,2008 - 2009,2,,,Ex-Belgian; part of EUR54 m deal
15228,Belgium,Bulgaria,1,,Tripartite,MCM ship,SecondHand,,2008,,2009 - 2009,1,,,Ex-Belgian; part of EUR54 m deal
9486,Belgium,Chad,82,Yes,AML-60/90,Armoured car,Refurbished,Yes,2006,,2007 - 2010,82,Yes,,Second-hand; modernized before delivery; Eland-90 version; ordered and delivered via France
65858,Belgium,Chile,21,Yes,M-108 VBCL,APC,SecondHand,,2008,,2009 - 2009,21,,,Ex-Belgian
30242,Belgium,France,2,,AS-365/AS-565 Panther,Helicopter,SecondHand,,2009,,2009 - 2009,2,,,Second-hand; lease; AS-365N3 version
16236,Belgium,France,110,Yes,Arrows-300,AV turret,New,,2005,Yes,2008 - 2011,55,Yes,,For 110 VPC APC produced in France
27401,Belgium,Jordan,16,,F-16C,FGA aircraft,SecondHand,,2006,Yes,2008 - 2009,16,,,Ex-Belgian; 'Peace falcon-3' deal; F-16AM version; incl 4 F-16BM (F-16D)
27404,Belgium,Jordan,9,,F-16C,FGA aircraft,SecondHand,,2010,,2011 - 2011,9,,,Ex-Belgian; 6 F-16AM and 3 F-16BM version; 'Peace Falcon-5' deal
22931,Belgium,Jordan,143,Yes,Spartan,APC,SecondHand,,2005,Yes,2005 - 2007,143,Yes,,Ex-Belgian; no. could be 71
29537,Belgium,Jordan,18,Yes,M-113,APC,SecondHand,,2007,Yes,2008 - 2008,18,,,Ex-Belgian; ARV version
29546,Belgium,Jordan,6,,M-113,APC,SecondHand,,2010,,2010 - 2010,6,,,Ex-Belgian; ARV and maintenance versions
28328,Belgium,Jordan,45,Yes,AGM-65 Maverick,ASM,SecondHand,,2007,,2008 - 2008,45,,,Ex-Belgian; AGM-65G version
29529,Belgium,Lebanon,12,,M-113,APC,SecondHand,,2007,,2009 - 2009,12,,,Ex-Belgian; ambulance version
2525,Belgium,Lebanon,22,,AIFV,IFV,SecondHand,,2007,,2009 - 2010,22,,,Ex-Belgian
13573,Belgium,Morocco,20,Yes,AIFV-APC,APC,SecondHand,,2008,,2009 - 2009,20,Yes,,Ex-Belgian
29545,Belgium,Morocco,13,Yes,M-113,APC,SecondHand,,2009,Yes,2009 - 2009,13,,,Ex-Belgian
2527,Belgium,Morocco,90,Yes,AIFV,IFV,SecondHand,,2008,,2009 - 2009,90,Yes,,Ex-Belgian
4880,Belgium,Morocco,43,Yes,M-109A1 155mm,Self-propelled gun,SecondHand,,2006,,2008 - 2008,43,,,Ex-Belgian; M-109A2 version
14780,Belgium,Saudi Arabia,84,,LCTS 90mm,AV turret,New,,2009,Yes,2011 - 2012,40,Yes,,For 84 Piranha (LAV-90 or LAV-AG) FSV from Canada
29534,Belgium,Uruguay,3,Yes,M-113,APC,SecondHand,,2007,,2008 - 2008,3,,,Ex-Belgian; EUR0.25 m deal
20302,Bosnia and Herzegovina,Afghanistan,60,,D-30 122mm,Towed gun,Refurbished,,2009,,2011 - 2011,60,Yes,,Ex-Bosnian; modernized before delivery
24152,Botswana,Togo,1,,CN-235,Transport aircraft,SecondHand,,2012,Yes,2012 - 2012,1,,,Ex-Botswanan; sold via South African company
15019,Brazil,Angola,1,Yes,EMB-120 Brasilia,Transport aircraft,New,,2006,Yes,2007 - 2007,1,Yes,,EMB-120ER version; for VIP transport
18370,Brazil,Argentina,1,,Bell-212/UH-1N,Helicopter,SecondHand,,2007,,2007 - 2007,1,,,Second-hand
27354,Brazil,Bolivia,4,,Bell-205/UH-1H,Helicopter,SecondHand,,2011,,2012 - 2012,4,,,Ex-Brazilian; aid; for anti-narcotics operations
16066,Brazil,Burkina Faso,3,Yes,EMB-314 Super Tucano,Trainer/combat ac,New,,2010,Yes,2011 - 2011,3,,,
30231,Brazil,Chile,1,,AS-365/AS-565 Panther,Helicopter,SecondHand,Yes,2006,Yes,2007 - 2007,1,,,Second-hand
16050,Brazil,Chile,12,,EMB-314 Super Tucano,Trainer/combat ac,New,,2008,,2009 - 2010,12,,,$140 m deal
16052,Brazil,Colombia,25,,EMB-314 Super Tucano,Trainer/combat ac,New,,2005,,2006 - 2008,25,,,$235 m deal (loan from Brazilian banks); mainly for combat role (against FARC and ELN rebels)
34407,Brazil,Comoros,1,,L-410 Turbolet,Light transport ac,SecondHand,,2012,,2012 - 2012,1,,,L-410UVP version
16051,Brazil,Dominican Republic,8,,EMB-314 Super Tucano,Trainer/combat ac,New,,2008,,2009 - 2010,8,,,Incl for combat role (anti-narcotics operations)
16056,Brazil,Ecuador,18,,EMB-314 Super Tucano,Trainer/combat ac,New,,2008,,2010 - 2011,18,,,$220 m deal; originally 24 ordered but changed to 18
8915,Brazil,Ecuador,1,Yes,DHC-5 Buffalo,Transport aircraft,SecondHand,,2011,,2011 - 2011,1,Yes,,Ex-Brazilian; aid
13582,Brazil,Greece,4,,EMB-145AEW&C,AEW&C aircraft,New,,1999,,2008 - 2008,4,,,Part of $476-676 m deal (incl PS-890 Erieye radar fitted in Sweden); EMB-145H version
16054,Brazil,Indonesia,8,,EMB-314 Super Tucano,Trainer/combat ac,New,,2011,,2012 - 2012,4,,,Delivery 2012-2013
7197,Brazil,Malaysia,18,,ASTROS-2,Self-propelled MRL,New,,2007,,2010 - 2010,18,,,$300 m deal
3937,Brazil,Malaysia,3,,ASTROS AV-UCF,Fire control radar,New,,2007,,2010 - 2010,3,,,
16064,Brazil,Mauritania,2,Yes,EMB-314 Super Tucano,Trainer/combat ac,New,,2011,,2012 - 2012,2,Yes,,
11765,Brazil,Namibia,1,,Grajau,Patrol craft,New,,2004,,2009 - 2009,1,,,Part of $35 m deal
18454,Brazil,Pakistan,100,,MAR-1,ARM,New,,2008,,2010 - 2010,100,Yes,,BRL111 m ($100-126 m) deal
31298,Brazil,Paraguay,3,,EMB-312 Tucano,Trainer aircraft,SecondHand,,2009,Yes,2010 - 2010,3,,,Ex-Brazilian; exchanged for 4 EMB-326GB (Xavante) trainer aircraft and 1 Boeing-707 transport aircraft
21925,Brazil,Uruguay,25,,M-41 Walker Bulldog,Light tank,SecondHand,,2011,,2011 - 2011,25,,,Ex-Brazilian; M-41C version
16890,Brunei Darussalam,Indonesia,2,,Waspada,FAC,SecondHand,,2010,,2011 - 2011,2,,,Ex-Bruneian; aid; for training
29989,Bulgaria,Cambodia,40,,BTR-60PB,APC,SecondHand,,2010,Yes,2010 - 2010,40,,,Ex-Bulgarian
30391,Bulgaria,Cambodia,4,,BRDM-2,Reconnaissance AV,SecondHand,,2010,Yes,2010 - 2010,4,,,Ex-Bulgarian
6138,Bulgaria,Chad,10,Yes,2S1 122mm,Self-propelled gun,SecondHand,,2007,Yes,2008 - 2009,10,,,Ex-Bulgarian
24520,Bulgaria,Georgia,12,Yes,D-20 152mm,Towed gun,SecondHand,,2009,Yes,2009 - 2009,12,,,Designation uncertain
20312,Bulgaria,Georgia,12,Yes,D-30 122mm,Towed gun,SecondHand,,2011,Yes,2011 - 2011,12,,,Probably ex-Bulgarian but possibly ex-Czech sold via Bulgaria; designation uncertain (reported as 122mm howitzer)
8660,Bulgaria,Georgia,600,Yes,9M111/AT-4 Spigot,Anti-tank missile,New,,2006,,2006 - 2007,600,Yes,,
23947,Bulgaria,Mali,2,Yes,Mi-24D/Hind-D,Combat helicopter,SecondHand,,2006,Yes,2007 - 2007,2,Yes,,Ex-Bulgarian
23950,Bulgaria,Mali,2,,Mi-24D/Hind-D,Combat helicopter,SecondHand,,2008,,2009 - 2009,2,,,Ex-Bulgarian; EUR5.7 m deal
29987,Bulgaria,Mali,34,Yes,BTR-60PB,APC,Refurbished,Yes,2007,Yes,2008 - 2009,34,,,Ex-Bulgarian; probably modernized before delivery
29992,Bulgaria,Mali,19,,BTR-60PB,APC,Refurbished,Yes,2011,Yes,2012 - 2012,19,Yes,,Ex-Bulgarian; probably modernized before delivery
30388,Bulgaria,Mali,44,Yes,BRDM-2,Reconnaissance AV,SecondHand,,2006,Yes,2007 - 2009,44,,,Ex-Bulgarian
17610,Canada,Brazil,6,,Model-56 105mm,Towed gun,SecondHand,,2006,Yes,2007 - 2007,6,,,Ex-Canadian
23557,Canada,Brazil,99,Yes,PT-6,Turboprop,New,,2001,Yes,2003 - 2012,99,Yes,,For 99 EMB-314 (ALX or A-29/AT-29) trainer/combat aircraft produced in Brazil; PT-6A-68B version
12412,Canada,Brazil,24,,PW-100,Turboprop/turboshaft,New,,2005,,2006 - 2009,24,Yes,,For 12 C-295 transport aircraft from Spain; PW-127 version
23642,Canada,Burkina Faso,3,Yes,PT-6,Turboprop,New,,2010,Yes,2011 - 2011,3,Yes,,For 3 EMB-314 trainer/combat aircraft from Brazil
12442,Canada,Cambodia,4,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2012 - 2012,4,Yes,,For 2 MA-60 transport aircraft from China; PW-127 version
23629,Canada,Chile,12,Yes,PT-6,Turboprop,New,,2008,,2009 - 2010,12,Yes,,For 12 EMB-314 trainer aircraft from Brazil
12418,Canada,Chile,6,,PW-100,Turboprop/turboshaft,New,,2007,,2010 - 2011,6,,,For 3 C-295 MP and ASW aircraft from Spain
23558,Canada,Colombia,25,,PT-6,Turboprop,New,,2005,,2006 - 2008,25,Yes,,For 25 EMB-314 (ALX) trainer/combat aircraft from Brazil; PT-6A-68A version
12421,Canada,Colombia,8,,PW-100,Turboprop/turboshaft,New,,2007,,2008 - 2009,8,,,PW-127 version; for 4 C-295 transport aircraft from Spain
3830,Canada,Colombia,1,,AN/APS-504(V),MP aircraft radar,New,,2009,,2010 - 2010,1,Yes,,For 1 CN-235 MP aircraft from Spain; status uncertain
12425,Canada,Czech Republic,8,Yes,PW-100,Turboprop/turboshaft,New,,2009,,2011 - 2011,8,Yes,,For 4 C-295 transport aircraft from Spain
23631,Canada,Dominican Republic,8,Yes,PT-6,Turboprop,New,,2008,,2009 - 2010,8,,,For 8 EMB-314 trainer/combat aircraft from Brazil
29034,Canada,Ecuador,12,,DA-20,Light aircraft,New,,2011,,2012 - 2012,12,,,For training
23632,Canada,Ecuador,18,Yes,PT-6,Turboprop,New,,2008,,2010 - 2011,18,Yes,,For 18 EMB-314 trainer/combat aircraft from Brazil; PT-6A-68A version
12432,Canada,Egypt,6,,PW-100,Turboprop/turboshaft,New,,2010,,2011 - 2011,6,Yes,,For 3 C-295 transport aircraft from Spain
12422,Canada,Finland,4,,PW-100,Turboprop/turboshaft,New,,2006,,2007 - 2007,4,,,For 2 C-295 MP aircraft from Spain
12431,Canada,Finland,2,,PW-100,Turboprop/turboshaft,New,,2010,,2011 - 2011,2,,,For 1 C-295 transport aircraft from Spain
23617,Canada,Indonesia,5,Yes,PT-6,Turboprop,New,,2005,,2007 - 2008,5,Yes,,For 5 KT-1 trainer aircraft from South Korea; PT-6A-62A version
23656,Canada,Indonesia,8,Yes,PT-6,Turboprop,New,,2005,Yes,2011 - 2012,8,Yes,,For 8 KT-1 trainer aircraft from South Korea; PT-6A-62A version
23644,Canada,Indonesia,8,Yes,PT-6,Turboprop,New,,2011,,2012 - 2012,4,Yes,,For 8 EMB-314 trainer/combat aircraft from Brazil
12434,Canada,Indonesia,18,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2012 - 2012,4,Yes,,For 9 C-295 transport aircraft from Spain
9074,Canada,Iraq,8,,CH-2000,Light aircraft,New,,2004,,2005 - 2007,8,Yes,,$5.8 m deal; SAMA CH-2000 MTSA version; ordered via USA and assembled from kits in Jordan; for surveillance
9075,Canada,Iraq,8,,CH-2000,Light aircraft,New,,2005,Yes,2007 - 2008,8,Yes,,SAMA CH-2000 MTSA version; ordered via USA and assembled from kits in Jordan; for surveillance
23634,Canada,Iraq,15,,PT-6,Turboprop,New,,2009,,2009 - 2010,15,,,For 15 PC-9 (T-6A) trainer aircraft from USA
23622,Canada,Israel,10,Yes,PT-6,Turboprop,New,,2006,Yes,2007 - 2011,10,Yes,,For Eitan (Heron-TP) UAV/UCAV produced in Israel
23633,Canada,Israel,20,Yes,PT-6,Turboprop,New,,2008,,2009 - 2010,20,Yes,,For 20 PC-9 (T-6A) trainer aircraft from USA
23654,Canada,Israel,1,,PT-6,Turboprop,New,,2011,Yes,2012 - 2012,1,,,For 1 PC-9/T-6A trainer aircraft from USA
14314,Canada,Jamaica,2,,DA-40,Light aircraft,New,,2006,,2006 - 2007,2,,,$0.85 m deal; DA-40-180FP version; for training
23559,Canada,"Korea, South",105,Yes,PT-6,Turboprop,New,,1995,Yes,2000 - 2007,105,Yes,,For 85 KT-1 trainer and 20 KO-1 combat/reconnaissance aircraft produced in South Korea; PT-6A-62A version
12439,Canada,Laos,4,Yes,PW-100,Turboprop/turboshaft,New,,2010,Yes,2012 - 2012,4,Yes,,For 2 MA-60 transport aircraft from China; PW-127 version
23563,Canada,Malaysia,10,,PT-6,Turboprop,New,,2006,,2007 - 2007,10,,,For 10 PC-7 Mk-2 trainer aircraft from Switzerland; PT-6A-25C version
23653,Canada,Mauritania,2,Yes,PT-6,Turboprop,New,,2011,,2012 - 2012,2,Yes,,For 2 EMB-314 trainer/combat aircraft from Brazil
23645,Canada,Mexico,6,Yes,PT-6,Turboprop,New,,2011,Yes,2012 - 2012,6,Yes,,For 6 PC-9 (T-6C) trainer aircraft from USA
12424,Canada,Mexico,4,,PW-100,Turboprop/turboshaft,New,,2008,,2009 - 2009,4,,,For 2 C-295 transport aircraft from Spain
12426,Canada,Mexico,10,,PW-100,Turboprop/turboshaft,New,,2009,,2010 - 2011,10,,,For 5 C-295 transport aircraft from Spain
12435,Canada,Mexico,4,,PW-100,Turboprop/turboshaft,New,,2010,,2011 - 2011,4,,,For 2 C-295 transport aircraft from Spain
12448,Canada,Mexico,10,,PW-100,Turboprop/turboshaft,New,,2011,,2011 - 2011,2,,,For 5 C-295 transport aircraft from Spain
23635,Canada,Morocco,24,Yes,PT-6,Turboprop,New,,2009,,2011 - 2012,24,Yes,,For 24 PC-9 (T-6C) trainer aircraft from USA
32210,Canada,Oman,1,,Hawk-100,Trainer/combat ac,SecondHand,,2007,Yes,2008 - 2008,1,,,Ex-'NATO Flying Training in Canada' (NFTC) programme; Hawk-115 version
27051,Canada,Peru,12,,DHC-6 Twin Otter,Transport aircraft,New,,2010,,2011 - 2012,3,,,$67 m deal; DHC-6-400 version; delivery 2011-2014
12419,Canada,Poland,4,,PW-100,Turboprop/turboshaft,New,,2006,,2007 - 2007,4,,,For 2 C-295 transport aircraft from Spain; PW-127 version
12420,Canada,Poland,4,,PW-100,Turboprop/turboshaft,New,,2007,,2008 - 2008,4,Yes,,For 2 C-295 transport aircraft from Spain; PW-127 version
12438,Canada,Poland,10,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2012 - 2012,6,,,For 5 C-295 transport aircraft from Spain
12408,Canada,Portugal,24,Yes,PW-100,Turboprop/turboshaft,New,,2006,,2008 - 2011,24,Yes,,For 12 C-295 transport and MP aircraft from Spain; PW-127 version
14469,Canada,Romania,2,,HF SWR-503,Sea search radar,New,,2008,,2010 - 2011,2,Yes,,
29910,Canada,Saudi Arabia,132,Yes,Piranha,APC,New,,2006,Yes,2006 - 2009,132,Yes,,Incl LAV-25 IFV and LAV-AG FSV version; for National Guard
29912,Canada,Saudi Arabia,724,,Piranha,APC,New,,2009,,2011 - 2012,250,Yes,,"$2.2 b deal (part of $5.8 b deal); sold via USA; LAV version; incl LAV-25 IFV, LAV-AG FSV, LAV-AT anti-tank, 120mm mortar caririer, ARV, command post and ambulance versions; for National Guard"
23624,Canada,Singapore,19,Yes,PT-6,Turboprop,New,,2006,,2008 - 2008,19,,,For PC-21 trainer aircraft from Switzerland; PT-6A-68B version
12163,Canada,Sweden,8,,Hydra,ASW sonar,New,,1995,Yes,2004 - 2008,8,Yes,,For 5 Visby corvettes produced in Sweden and for modernization of 1 Göteborg and 2 Stockholm FAC
23625,Canada,Switzerland,6,Yes,PT-6,Turboprop,New,,2006,,2008 - 2008,6,Yes,,For 6 PC-21 trainer aircraft produced in Switzerland; PT-6A-68B version
23639,Canada,Switzerland,2,Yes,PT-6,Turboprop,New,,2010,,2012 - 2012,2,Yes,,For 2 PC-21 trainer aircraft produced in Switzerland; PT-6A-68B version
23628,Canada,Turkey,40,Yes,PT-6,Turboprop,New,,2007,,2010 - 2012,40,Yes,,For 40 KT-1T trainer aircraft from South Korea; PT-6A-62A version
27046,Canada,United Arab Emirates,10,Yes,DHC-6 Twin Otter,Transport aircraft,New,,2008,,2010 - 2012,10,Yes,,$65m deal; DHC-6-400 version; inc 4 Guardian-400 surveillance/MP version; bought and owned by UAE company incl for use by UAE government
23638,Canada,United Arab Emirates,25,Yes,PT-6,Turboprop,New,,2009,,2011 - 2012,25,Yes,,For 25 PC-21 trainer aircraft from Switzerland
23637,Canada,United Arab Emirates,23,Yes,PT-6,Turboprop,New,,2010,,2010 - 2012,21,Yes,,For 23 AT-802U combat aircraft from USA
32189,Canada,United Kingdom,5,,Global Express,Transport aircraft,New,,1999,,2007 - 2007,5,Yes,,Part of $1.3 b deal (offsets 100%); for modification to Sentinel R-1 AGS aircraft in USA and UK with ASTOR radars from USA
32222,Canada,United States,3,,Global Express,Transport aircraft,New,Yes,2009,,2010 - 2011,3,Yes,,Leased and later bought; modified in USA to communications support aircraft with BACN system; US designation E-11
32225,Canada,United States,1,,Global Express,Transport aircraft,New,,2012,,2012 - 2012,1,,,$45 m deal; modified in USA to communications support aircraft with BACN system; US designation E-11
34838,Canada,United States,2131,,Piranha-3,APC,New,,2000,,2002 - 2007,2131,Yes,Yes,"LAV-3 (LAV-25/Stryker) version; incl APC, command post, anti-tank, mortar carrier and MGS FSV versions"
34846,Canada,United States,704,Yes,Piranha-3,APC,New,,2005,Yes,2007 - 2009,704,Yes,Yes,"LAV-3 (LAV-25/Stryker) version; incl APC, command post, anti-tank and mortar carrier versions"
34853,Canada,United States,615,,Piranha-3,APC,New,,2008,,2009 - 2011,615,Yes,Yes,"$1.2 b deal; LAV-3 (LAV-25/Stryker) version; incl APC, command post and mortar carrier versions"
34854,Canada,United States,352,,Piranha-3,APC,New,,2009,,2011 - 2012,352,Yes,Yes,"$647 m deal; LAV-3 (LAV-25/Stryker) version; incl APC, command post and mortar carrier versions"
